"carat","cut","color","clarity","depth","table","price","x","y","z"
"0.7","Very Good","F","SI1","63.7","55.0","2192","5.62","5.69","3.6"
"1.06","Very Good","G","VS2","59.4","59.0","6217","6.68","6.63","3.95"
"0.9","Premium","E","SI1","62.7","60.0","4443","6.13","6.03","3.81"
"0.33","Ideal","G","VS1","62.1","56.0","854","4.42","4.4","2.74"
"0.58","Ideal","F","SI1","60.9","55.0","1569","5.39","5.41","3.29"
"1.7","Premium","G","SI1","61.7","58.0","13256","7.69","7.6","4.72"
"1.39","Ideal","I","SI2","61.6","55.0","6544","7.14","7.18","4.41"
"0.3","Ideal","H","VS1","62.1","56.0","545","4.28","4.32","2.67"
"0.33","Ideal","G","VVS2","62.3","56.0","713","4.43","4.47","2.77"
"0.7","Very Good","G","SI1","63.6","58.0","2209","5.61","5.65","3.58"
"1.34","Premium","H","SI1","62.4","57.0","6814","7.07","6.96","4.38"
"0.36","Premium","D","VS2","60.5","58.0","852","4.6","4.63","2.79"
"0.31","Good","D","SI1","63.8","57.0","684","4.33","4.29","2.75"
"0.73","Ideal","F","SI2","59.6","56.0","2164","5.89","5.85","3.5"
"1.01","Premium","G","VS2","61.5","56.0","5864","6.47","6.41","3.96"
"0.41","Premium","G","SI1","61.4","60.0","923","4.82","4.75","2.94"
"0.42","Ideal","G","VVS2","62.6","55.0","1031","4.77","4.78","2.99"
"1.34","Premium","H","VS2","62.3","60.0","7816","7.05","7.02","4.38"
"1.0","Premium","D","SI1","59.2","62.0","5723","6.54","6.49","3.86"
"0.42","Ideal","G","VS1","61.0","56.0","823","4.82","4.86","2.95"
"0.41","Ideal","J","VS2","61.7","55.0","587","4.79","4.81","2.96"
"1.01","Premium","E","VS1","62.9","61.0","7964","6.39","6.33","4.0"
"0.52","Very Good","E","VS2","62.8","55.0","1621","5.11","5.15","3.22"
"0.74","Ideal","D","SI2","61.1","57.0","2690","5.81","5.84","3.56"
"0.5","Fair","F","VS1","62.9","68.0","1348","5.02","4.96","3.14"
"0.41","Ideal","H","VS1","62.7","56.0","827","4.73","4.77","2.98"
"0.75","Ideal","H","VVS2","62.0","55.1","2992","5.83","5.85","3.62"
"0.37","Ideal","F","VVS1","59.2","57.0","1342","4.71","4.75","2.8"
"1.75","Premium","J","VS1","62.2","59.0","10429","7.7","7.74","4.8"
"0.43","Ideal","D","VS2","62.0","55.0","1129","4.86","4.81","3.0"
"0.4","Ideal","H","VVS2","61.4","55.7","905","4.72","4.77","2.92"
"0.7","Ideal","D","SI1","60.7","56.0","2872","5.72","5.75","3.48"
"1.61","Premium","H","SI2","61.4","62.0","7745","7.54","7.48","4.62"
"0.31","Very Good","F","VVS1","59.4","57.0","779","4.39","4.43","2.62"
"0.76","Ideal","H","VVS2","61.8","57.0","2690","5.84","5.91","3.63"
"0.32","Premium","F","SI1","62.7","57.0","684","4.4","4.37","2.75"
"0.26","Very Good","E","VVS1","62.6","59.0","554","4.06","4.09","2.55"
"0.3","Very Good","D","SI1","63.4","55.0","662","4.26","4.22","2.69"
"1.05","Very Good","H","SI2","61.4","58.0","4042","6.54","6.58","4.03"
"1.3","Premium","J","SI1","61.8","59.0","5438","6.99","6.95","4.31"
"1.64","Fair","E","SI2","63.1","60.0","8954","7.58","7.5","4.75"
"1.02","Premium","F","SI2","63.0","58.0","4398","6.43","6.37","4.03"
"1.02","Premium","D","I1","61.4","60.0","3769","6.42","6.47","3.96"
"2.01","Premium","H","SI1","60.2","58.0","14502","8.06","8.03","4.84"
"1.08","Ideal","H","SI1","62.8","57.0","4964","6.55","6.51","4.1"
"0.53","Ideal","H","VS2","62.4","56.0","1412","5.18","5.17","3.23"
